City Name,State Name,Year,Plan Type,Threats,Adaptation Measures,Mitigation Measures,Resilience Measures
Chattanooga,TN,2018,Mitigation Primary CAP,"climate change, disparities among socially and economically vulnerable communities, climate-driven risks to water quality, invasive species, lack of access to affordable healthy food","establish community health and resilience assessments for all strategies and actions, establish Community Resilience & Response Plans for at-risk populations, establish Community Resilience Hubs in publicly accessible facilities, establish community-wide emergency response and communication plans to ensure safety, communication, and continuation of necessary services, establish evacuation routes for at-risk neighborhoods and population centers, establish public water fountain/bottle refill stations in key areas such as heat islands, parks, unshaded streets and sidewalks, implement programs to ensure affordable housing developments remain in perpetuity, implement Chattanooga Metropolitan Airport resiliency projects, create special review districts or overlays that set standards for a required percentage of open space to limit development impacts within sensitive natural resources areas, facilitate coordination across community and jurisdictional boundaries, increase funding for construction stormwater inspection positions to keep pace with development","implement energy efficiency retrofits, implement commercial building energy-efficiency inventory, baseline, and reporting, incentivize home and business solar array installation, establish Commercial Property Assessed for Clean energy + Resilience (C-PACeR) program, invest in and incentivize existing and new home energy-efficiency, weatherization, and workforce development programs, establish an energy-efficiency standard for rental housing, establish utility cost disclosure program for rental housing, maximize host-site solar capacity at City facilities, implement photovoltaic solar installations, incentivize eV and alternative fuel vehicle adoption, require and incentivize eV charging infrastructure, establish low- or no-emission zones, decarbonize community-scale power distribution and supply, establish GHG inventory, join the Better Climate Challenge, update building code standards to improve energy efficiency of new buildings, create a phased plan for all new buildings to be net-zero/negative, encourage energy efficiency improvement in privately owned buildings, explore regenerative design for select locations, incentivize alternative transportation for City employees' commutes.","establish City Government Sustainability Team, establish community health and resilience assessments, establish Community Resilience & Response Plans, establish Community Resilience Hubs, establish community-wide emergency response and communication plans, establish evacuation routes for at-risk neighborhoods, establish public water fountain/bottle refill stations, develop resilient and energy-efficient affordable housing plans, establish housing directory and annual report, design affordable housing in resilient communities, implement programs for perpetuity of affordable housing, identify distributed energy resources, identify ways to participate in TVA Green Invest, increase operational resilience of rail yard facilities, implement Chattanooga Metropolitan Airport resiliency projects, establish microgrid and backup power systems for EV charging, incorporate electric vehicle charging in new City facilities, fund tree canopy plan, plant trees in low-density areas, establish tree protection ordinances, evaluate National Audubon Society's Lights Out Program, develop comprehensive community garden program, perform Regional Food Systems analysis, emphasize equity and community health in performance metrics."
Albuquerque,NM,2021,Green Plan,N/A,"Prioritize development and maintenance of green spaces, community gardens and food forests within a 10-minute walk of all residential spaces, Improve safe trails and biking infrastructure and ensure that these are equitably distributed, Ban use of glyphosate products, plant climate-ready food forests, incentivize replacing rock with natural mulch, and promote understory vegetation, Reduce the heat island effect by increasing vegetation cover city-wide, create a tree preservation ordinance, update the street tree ordinance, Create opportunities for the City of Albuquerque to purchase farmland to expand wetlands, Strengthen city-wide planning processes using community engagement models rooted in environmental justice, Create and monitor a Climate Action Plan water budget, Develop a water security strategy through collaboration and data sharing, Create city-wide sustainable development goals, Require every new development to submit a sustainability plan, Invest in green infrastructure and incorporate it into new construction projects, Review City land use practices, Revise the City Water Code to increase water reclamation technologies, Localize systems of production to reduce transportation emissions, Strengthen the local food system, increase community gardens, Promote local farm-to-fork culinary tourism, Develop economic development opportunities via local recycling efforts, processing yard waste to compost, apprenticeships for solar installation, land revitalization for community gardens, Co-create family-supporting jobs in communities experiencing systematic underinvestment, Increase funding for public transit, Reevaluate routes and increase access to transit, Treat public transportation as a public good, Improve the “last mile” with bike and ride sharing options, Improve safety of buses and bus stops, Invest in sidewalk improvement, Improve and create bike and walking infrastructure, Prioritize equity, transparency and accountability in transportation safety investments, Educate residents about the energy and water nexus, support education campaigns, Reduce waste in public and private sectors, Participate in public education campaigns about climate change with frontline communities, Publish daily vehicle emissions data, Annually convene regional climate action summits.","Invest in green infrastructure, Transition mass transit to zero emissions fuel sources, Promote rideshare options with electric vehicles, Sustain efforts to convert city fleet vehicles to electric, Strengthen local food system to reduce greenhouse gas emissions, Develop community and economic development opportunities that mitigate climate change, Educate public on positive impacts of walking, biking, and public transit, Support energy efficiency improvements for low-income residents, Prioritize electrification of new and renovated City facilities, Support energy standards for newly constructed or renovated buildings, Increase solar development, Support community solar programs, Micro-grid establishment, Grid modernization.","Prioritize development and maintenance of green spaces, community gardens and food forests within a 10-minute walk of all residential spaces, improve safe trails and biking infrastructure, reduce the heat island effect by increasing vegetation cover, create a tree preservation ordinance, update the street tree ordinance to prioritize greening, purchase farmland to expand wetlands, use community engagement models rooted in environmental justice, create a Climate Action Plan water budget, develop a water security strategy, create city-wide sustainable development goals, invest in green infrastructure, review city land use practices, increase gray and black water reclamation, support drought tolerant plants, electrification of city facilities, urban infill and brownfield redevelopment, consistent adoption of energy standards, develop community gardens on city-owned vacant lots, co-create jobs with family-supporting wages, support legislation to prioritize sustainable development and renovations."
Cambridge,MA,2018,Mitigation Only CAP,N/A,N/A,"reduce GHG emissions from buildings, net zero emissions new construction, low carbon energy supply sources, local carbon fund, energy efficiency in existing buildings, renewable energy adoption, waste diversion and reduction goals, parking and transportation demand management (PTDM) ordinance, Building Energy Use Disclosure Ordinance (BEUDO), promote engagement and capacity building",N/A
Cleveland,OH,2024,Mitigation Primary CAP,"Poor Air Quality, Extreme Heat, Heavy Precipitation, Severe Storms, Flooding","Explore the creation of rebates and incentives to help residents flood-proof their properties, Examine opportunities to help residents relocate from hazard-prone areas, Develop comprehensive Heat Mitigation Plan, Expand hours at city-owned pools and splash pads on extreme heat days, Identify urban heat island hotspots and target for heat mitigation interventions, Pilot infrastructure interventions to reduce impacts of extreme heat, Collaborate to identify infrastructure assets most vulnerable to flooding, Assess flood risks and identify areas to limit development of critical infrastructure, Advocate for policies to prevent utility disconnections during the summer, Establish fan/air conditioning delivery/rental program for vulnerable populations, Conduct accessibility audits and retrofit public spaces for wheelchair access, Proactively engage with vulnerable populations to review and update hazard preparedness plans, Enhance and expand transportation to shelters and cooling/warming centers during hazard events","Clean Energy, Clean Transportation, Make existing commercial and residential buildings more comfortable, healthy, and energy efficient, All new buildings should have net zero emissions by 2050, Work to ensure that sales of new fossil fuel heating systems cease by 2035 and existing systems are converted to electric heating by 2050, Adopt built environment policies that advance transportation electrification, Source at least 75% of electricity from clean energy by 2035, 85% by 2040, and 100% by 2050, Deliver 100% carbon-free power and heat by 2045, Eliminate barriers to providing 100% clean energy by 2045, At least 50% of light-duty vehicle sales are zero emissions vehicles by 2030, reaching 100% by 2040, At least 15% of fleet vehicles are zero emissions vehicles by 2030, reaching 100% by 2045, Transition non-road vehicles to zero emission alternatives by 2050, Improve energy productivity and decarbonize industrial operations by 30% by 2030, Identify funding and investments for the transition to a Circular Economy, Reduce waste in industrial settings by 30% by 2030.","Explore the creation of rebates and incentives to help residents flood-proof their properties, Examine opportunities to help residents relocate from hazard-prone areas, Create climate change educational resources for local schools and community organizations, Provide climate change trainings and listening sessions with elected & public officials, Reinforce and expand the Cleveland Climate Action Fund, Coordinate with community-based organizations to develop neighborhood-level climate action implementation plans, Coordinate with residents and stakeholder organizations to develop comprehensive Heat Mitigation Plan for City of Cleveland, Expand hours at city-owned pools and splash pads on extreme heat days, Identify urban heat island hotspots throughout the City and target these areas for heat mitigation interventions, Pilot infrastructure interventions to reduce the impacts of extreme heat, Collaborate with partners to identify infrastructure assets most vulnerable to flooding, Assess flood risks in neighborhoods and identify areas to limit development of critical infrastructure, Advocate for local and state level policies to prevent utility disconnections during the summer months, Assess neighborhood resource and community centers and identify priority locations for resilience hubs, Establish fan/air conditioning delivery/rental program for vulnerable populations during periods of extreme heat, Provide free/subsidized air purifiers for residents to improve indoor air quality in their homes, Conduct accessibility audits and retrofit public spaces for wheelchair access and other accommodations, Proactively engage with vulnerable populations to review and update hazard preparedness plans, Coordinate with partner organizations to enhance and expand transportation to shelters and cooling/warming centers during hazard events, Complete community asset and vulnerability mapping exercises at the neighborhood level, Collaborate with emergency management partners and community-based organizations to develop multilingual emergency response plans and communication strategies"
Knoxville,TN,2021,Mitigation Plan,"Localized flooding, Urban heat island effect, Increased traffic volume, Methane emissions from waste, Stormwater damage.","Low-impact design, Investing in infrastructure for localized flooding, Green infrastructure projects, Wetland construction, Permeable parking lots, Infiltration islands","Expand and improve bicycle and pedestrian facilities, Make public transit investments, Accelerate community adoption of electric vehicles, Transition commercial fleet operators to electric vehicles, Create energy upgrade programs for buildings, Amplify home energy upgrade programs, Invest in renewables at scale, Promote opportunistic electrification, Pursue food waste reduction and collection programs, Increase residential recycling, Promote consumption-reduction approaches, Research organics collection for residential properties","low-impact design, investment in infrastructure to handle increased localized flooding, Multi-Jurisdictional Hazard Mitigation Plan, green infrastructure projects, wetland construction, permeable parking lot, infiltration islands"
Hampton,VA,2018,Resiliency Plan,"sea level rise, recurring flooding, storm surge, tidal action, groundwater","Modify zoning and future land use policies to prioritize space for water, modify zoning and future land use policies to protect flood-prone areas, modify zoning ordinance to limit impervious development, expand water management policies for water quality, modify building codes for adaptation measures, allow graywater reuse, demolish slab-on-grade homes for climate-appropriate solutions, promote parcel-level adaptations to reduce flood risk, promote water-based assets, promote trades focused on resilience work, create a network of raised roads, move critical assets out of flood zones, improve power grid, bury utility lines, expand shoreline stabilization, broaden tree canopy, install backflow preventers, install infiltration wells, use public site improvements to demonstrate sustainability, install tide gates, install green infrastructure, enlarge stormwater infrastructure, install pump stations, educate citizens about adaptations and best practices.",N/A,"Create a network of raised roads, Move critical assets out of flood zones, Investigate improvements to the power grid, Work with utility companies to bury utility lines, Expand shoreline stabilization measures, Broaden the tree canopy, Install backflow preventers, Install infiltration wells, Utilize improvements to public sites for sustainability, Evaluate installing tide gates, Evaluate installing green infrastructure, Evaluate enlarging stormwater infrastructure, Evaluate installing pump stations, Modify zoning for retention ponds, Modify zoning to protect flood-prone areas, Limit impervious development, Expand water management policies, Modify building codes for adaptation, Allow graywater reuse, Use FEMA funds for climate-appropriate architecture, Promote parcel-level flood risk adaptations, Promote runoff reduction improvements, Promote water-based assets, Promote trades focused on resilience, Promote educational opportunities for environment preservation, Partner with municipalities for water management policy, Work with landowners on infrastructure maintenance, Adapt existing infrastructure for resiliency, Regional and multi-scale response strategies."
Bayfield,WI,2012,Green Plan,N/A,"Install waterless urinals in men's restrooms at municipal facilities, All outdoor watering by local government from rain collection, Develop a water efficiency and conservation plan for municipal buildings, Infiltration and inflow reduction by 10%, Plan for replacing all toilets using > 1.6 gpf, Develop a municipal collection program for food discards and yard materials, Develop and promote programs for hazardous, medical, and electronic waste disposal, Implement municipal ordinances for manufacturer take-back for mercury-containing devices, Ordinances to reduce the usage of phone books and disposable packaging, Review and revise the City’s tree ordinance, Protect natural watercourses and ravines, Develop a land protection strategy and process for acquiring property, Develop guidelines for creating and maintaining views, Identify priority areas for infill development, Develop an inventory of known contaminated properties for reuse planning, Work with the Bayfield Chamber of Commerce to develop and implement the following: Publish and reward best practices, Develop and implement a survey of business practices, Establish benchmarks to measure progress.","Adopt standards for green building practices, Land use plan encourages compact development, Use PACE financing, Watt meters available to the public, Community energy use strategies encourage energy efficiency and the use of renewable fuels, Municipal energy use strategies encourage employees to conserve energy, Include transportation energy/emissions as criterion in RFPs for purchases, Develop lighting, HVAC, and shell improvements to raise Energy Star or LEED scores, Reduce motor fuels use for non-transit activities, Municipal electricity purchases are higher in renewable content, Transportation demand management strategies, Bicycle and Pedestrian Programs/Projects, Preservation and Improvement of transportation systems, Ordinances to reduce usage of phone books and single-use items, Pay-as-you-throw system, Use public education to promote recycling and waste reduction, Waste management and reduction strategies.","Use PACE financing, Watt meters available to the public, Adopt Residential Energy Conservation Ordinance, Develop list of lighting, HVAC and shell improvements, Reduce motor fuels use for non-transit activities, Streetlights operate at 75 lumens/Watt or higher, Municipal electricity purchases at least 5 percentage points higher in renewable content, Develop a Natural Step Tool Kit for Business, Develop informational materials on environmentally sound business practices, Survey current business practices, Install waterless urinals in men's restrooms, Outdoor watering by local government from rain collection, Develop a water efficiency and conservation plan, Plan for replacing all toilets using >1.6 gpf, Require bike parking for all new non-residential and multifamily uses, Set standards for bike parking spaces, Commuter bike routes identified and cleared, Safe Routes to School program covering at least 10 percent of students, Conduct annual survey of students' mode of transport to school, Track VMT or traffic counts and report on efforts at reduction, Develop comprehensive maintenance program for roads, Charge impact fees for new roads, Create land bank for priority infill sites, Develop an inventory of known contaminated properties."
Napa,CA,2024,Adaptation Plan,"Wildfire, Flooding, Drought, Extreme Heat, Emergency Preparedness","Implement and monitor the effectiveness of existing policies, actions, and measures identified in existing planning mechanisms, Promote the implementation of measures and actions that are applicable throughout the region, Increase the climate resilience of existing and new residential and commercial development through structural strengthening and hardening, Incorporate considerations of climate change and health equity into all governmental initiatives and fundamental operations, Improve the resilience of the region’s transportation infrastructure against climate stressors, Improve the resilience of the region’s agricultural industry against climate stressors, Incorporate climate change considerations into the County and its jurisdictions’ emergency management planning and response processes, Prepare for and adapt to increased wildfire risk, Prepare for increased temperatures and more frequent extreme heat events, Prepare for more frequent extreme precipitation and flooding events, Address and adapt to the long-term impacts of sea level rise, Ensure the implementation of the region’s water conservation endeavors and explore options for the use of recycled water, Map and identify locations that are newly at risk, or at higher risk for fire hazards because of climate change, Coordinate with State and local agencies to establish post-fire ecological recovery programs, Ensure that best practices for wildfire mitigation that apply to the region are implemented consistently throughout the county, Plan new development strategically in High or Very High Fire Hazard Severity Zones, Enhance forest resilience, reduce tree mortality, and manage beetle infestations, Protect outdoor workers from wildfire smoke.",N/A,"Measure All-1, Measure All-2, Measure All-3, Measure All-4, Measure All-5, Measure All-6, Measure All-7, Measure All-8"
Henderson,NV,2023,Mitigation Primary CAP,"extreme heat, drought, flash flooding, wildfires, extreme winds","Regional collaboration, County-Wide Climate Education Program, Reduce energy use in existing buildings, Weatherization, Energy efficiency, Water conservation, Offering financial assistance for weatherization and cooling measures, Establish a network of Resilience Hubs, Enhance emergency preparedness and response resources, Evaluate effectiveness and accessibility of emergency preparedness communications, Partner with transportation providers for accessible transport to cooling centers and shelters, Establish a neighborhood outreach program for preparedness kits, Implement design standards to mitigate heat exposure, Integrate mobile crisis intervention and outreach into the continuum of care, Enhance and maintain drought-tolerant plantings, Enhance parks and open spaces in underserved communities.","Reduce energy use in existing buildings, weatherization programs, energy efficiency programs, water conservation programs, transitioning to carbon neutral buildings, policies for clean and reliable energy generation and delivery, deep energy retrofit program stacking model, adoption of a model ordinance for electric vehicle charging infrastructure, adopt the updated International Energy Conservation Code (IECC), support establishment of an energy efficiency program, identification and pursuit of federal climate change funding.","Prepare for and reduce the impacts of climate hazards on Clark County residents and visitors, Protect workers from heat, toxins, and other dangerous work conditions, Expand Community Emergency Response Team (CERT) programs, Offer financial assistance for weatherization and cooling measures, Establish a network of Resilience Hubs, Enhance emergency preparedness and response resources, Evaluate emergency preparedness communications materials, Partner with transportation providers for accessible transportation to cooling centers and resilience hubs, Establish neighborhood outreach for preparedness kits, Maintain and expand healthy vegetation, Enhance, protect, and maintain drought-tolerant plantings, Enhance parks and open spaces, Implement heat reduction strategies, Protect workers from extreme heat events, Invest in Resilience Hubs, Coordinate with community organizations and service providers to share information, Track percentage of vulnerable populations with access to cooling centers or Resilience Hubs, Develop a list of criteria for resilience hub network, Establish partnerships for resilience hub design, Identify and evaluate sites for resilience hubs, Identify and prioritize resilience solutions, Evaluate impact of pilot sites for resilience hubs, Develop a list of criteria for resilience hub network based on evaluation of pilot sites."
New Orleans,LA,2016,Resiliency Plan,"Flood (10+ Year Event), Hurricane, Storm Surge, High Winds, Economic Event or Market Crash","resilience retrofit program, building hardening, interior elevation, flood protection methods, elevating exterior air conditioning condensing units, installing protection for doors and windows, securing or reinforcing exterior equipment, dry floodproofing, wet floodproofing, adjusting zoning, infill development, relocating parking, green infrastructure, permeability modifiers","Resilience retrofit program for buildings, Improving water retention systems, Increasing permeability of existing paving and other hard surfaces, Low Impact Development controls, Hydraulic modeling.","Community awareness and education, Funding for projects, Cultural preservation, Economic development, Coordinated small business support, Resilient commercial buildings program, Corridor-funded improvements, Resilience retrofit program for buildings, Small business resilience program, Emergency preparedness campaigns, Hazard identification and risk assessment, Mitigation strategy development, Disaster preparedness and resilience assessment tools, Infrastructure elevation measurements."
Chicago,IL,2015,Green Plan,N/A,"Increase community engagement to make Chicago more sustainable, Prepare for the human impacts of climate change by supporting people with information and services, Prepare the natural environment for climate impacts and maintain biodiversity, Prepare the infrastructure for climate change by reducing the urban heat island effect, managing flooding from high-intensity storm events, and strengthening resiliency to extreme weather.","Improve citywide energy efficiency by 5%, Improve overall energy efficiency in municipal buildings by 10%, Create an additional 20 MW of renewable energy, Reduce carbon emissions from all sectors, Improve local air quality by accelerating performance towards federal standards and decreasing greenhouse gas emissions, Reduce municipal fossil fuel consumption by 10%, Increase access to recycling and improve policies to promote waste reduction and re-use, Incorporate standard green practices in all City operations, Enhance stormwater management to reduce sewer overflows and basement flooding.","Increase community engagement to make Chicago more sustainable, Prepare for the human impacts of climate change by supporting people with information and services, Prepare the natural environment for climate impacts and maintain biodiversity, Prepare the infrastructure for climate change by reducing the urban heat island effect, managing flooding from high intensity storm events, and strengthening resiliency to extreme weather."
Tampa,FL,2021,Resiliency Plan,"Sea level rise, flooding, more frequent and extreme storms, extreme heat, inadequate infrastructure.","Assess and fortify critical infrastructure, incorporate resilience guidelines into capital planning process, stormwater systems for a changing climate, pilot nature-based solutions such as living shorelines, promote the One Water Plan, increase green infrastructure, preserve and increase Tampa’s tree canopy, explore partnerships to increase access to open space with multiple benefits, leverage health in all policies framework, map neighborhood-level vulnerabilities, develop and deploy an urban heat pilot program, launch a climate risk education and communications campaign, deploy more equitable and measurable community engagement across city agencies, implement resilient Tampa through the resilience delivery team.","Amplify existing and develop new renewable energy financing options and programs, Promote full electrification of municipal operations vehicles and regional transit fleets, Ensure all municipal operations are powered by 100 percent renewable energy.","Leverage Health in All Policies (HiAP) Framework to Drive More Equitable Mobility Initiatives, Partner with Community Redevelopment Areas (CRAs) to Foster Vibrant Neighborhoods, Nurture Community Gardens that Grow and Distribute Healthy Food, Map Neighborhood-Level Vulnerabilities to Support Decision-Making, Develop and Deploy an Urban Heat Pilot Program That Targets Vulnerable Neighborhoods, Launch a New Climate Risk Education and Communications Campaign, Promote a Community-Based Collective Impact and Service Delivery Model in Priority Neighborhoods, Ensure Equitable Transit Access and Expansion, Incorporate Resilience Guidelines Into City Budget Processes, Implement Racial Equity Tools to Ensure Racial Equity is Considered in Policies, Practices, and Partnerships, Expand the City’s Toolkit to Advance Resilience Goals in Land Use Decisions, Implement Resilient Tampa Through the Resilience Delivery Team, Incorporate Resilience Guidelines Into the Capital Planning Process, Quantify and track the increasing costs of climate change and cost of inaction around climate resilience solutions"
New Orleans,LA,2017,Resiliency Plan,"Sea level rise, Coastal land loss, Extreme heat episodes, Air pollution, Vector-borne diseases","natural ridges, highway foundation, flood gates, urban water management, evacuation routes, levee, elevated buildings, green infrastructure implementation program, redundancy and reliability improvements to electric grid, microgrids, backup power for critical assets, tree survey, plant 40,000 trees, climate adaptation tools, pilot neighbor engagement with iSeeChange tool","Evaluate feasibility for methane capture, composting at Gentilly Landfill, Evaluate feasibility for composting, waste-to-energy at SWBNO water treatment plants, Explore zero waste and circular-economy, Implement sustainable contracting and procurement policies, Add climate action data to open data policy, Submit annual data to the Carbon Disclosure Project, Implement a 100% low-carbon power standard, Transition coal to cleaner supply source, Set local solar goal of 255 megawatts by 2030, Survey financing tools and funding opportunities to support initiatives, Develop solar program, Evaluate and update permitting and interconnection processes, Install solar on city property, Continue to increase energy savings goal 0.2% annually through 2030, Benchmark, disclose, and reduce energy use in commercial buildings, Launch energy challenge with Downtown Development District, Include energy information in MLS, Benchmark and reduce energy use in City buildings, Meet City energy savings goal of 15% by 2020, Make Energy Smart a comprehensive DSM program, Align utility regulation and incentives with the City’s goal to reduce GHG pollution, Pilot targeted low-income support programs, Implement utility allowances for energy efficiency units, Conduct energy resilience study, map community energy assets, Convene energy resilience workshop, Implement pilot(s) for energy resilience, Make resilience improvements to critical water & drainage infrastructure, Improve fuel efficiency and use of alternative fuels by City fleet, Finance, build, and operate bike share system, Expand bike share coverage, Develop roadmap for integrating transit and bike share payments, Research car-share models, Facilitate the development of electric vehicle charging stations, Implement recycling at all City facilities, Launch limited pilot to evaluate organic waste program opportunities, Hire management and staff to centralize coordination of City energy investments, Explore ways to make water operations less energy-intensive, Determine feasibility of distributed generation and waste to energy, Improve fuel efficiency of city fleet, Implement recycling in City buildings","Green infrastructure implementation program, Restoration of coastal marshes, Improve efficiency and reliability of electric grid, Transition to renewable electricity, Deploy distributed energy like fuel cells and combined heat and power, Use battery storage, Implement microgrids, Improve waste management, Increase reuse of materials, Improve transportation infrastructure, Use energy resilience tools, Enhance water and drainage infrastructure, Establish ""Complete Streets"" committee, Redesign public transportation system, Invest in bicycle infrastructure, Align utility regulation with climate goals, Conduct energy resilience study, Make resilience improvements to critical utility infrastructure, Develop a culture of awareness and action, Grow the local low-carbon economy."
Chicago,IL,2019,Resiliency Plan,"Storms (Extreme Weather Events), Economic Crash, Flooding, Infrastructure Failure, Crime",N/A,"Advance the Chicago Climate Charter, Greenhouse Gas (GHG) Report: Upholding Chicago’s Commitment to the Paris Agreement, Chicago Smart Lighting Program, Shift to 100 Percent Renewables for City Electricity Needs, Improve the Energy Efficiency of Chicago’s Buildings, Fund Clean Commercial Vehicle Fleets, Electrify City Vehicle Fleets, Adopt Zero Emission Transit Buses, Promote Greater Access to Community Solar, Commit to Ready for 100","Building a New Chicago investments, CTA enhancements, Divvy bikeshare system, Resilient Corridor Project, Smart Lighting Program, climate action plan, reduction of carbon emissions, all public buildings powered by renewable energy, universal pre-kindergarten, Chicago STAR Scholarship, One Summer Chicago Program, youth mentorship programs, hiring additional officers, increased training for officers, body worn cameras, oversight and transparency reforms."
Hartford,CT,2014,Mitigation Plan,N/A,N/A,"Retro-commissioning, air sealing, insulation repair, HVAC controls improvements, lighting upgrades, occupancy sensors, motors and pumps upgrades, new equipment upgrades, reprogramming controls sequences, combined heat and power systems, rooftop solar installations, clean energy purchase commitment, participation in Clean Energy Communities Program.",N/A
San Diego,CA,2024,Resiliency Plan,"Extreme heat, Extreme rainfall, Wildfire, Sea level rise, Coastal erosion","Identify critical transportation network elements and create emergency transportation alternatives, Develop emergency evacuation plans, Develop flood assistance program, Establish levees inspection and maintenance program, Support expansion and management of active transportation network, Explore opportunities to increase access to healthy food markets, Increase access to parks and open space, Incentivize installation of cool roofs and green roofs, Utilize the Urban Heat Vulnerability Index for adaptation strategies, Develop an ecosystem fire recovery master plan, Develop an action plan to support the Multiple Species Conservation Plan Preserve, Implement land management practices for healthy watersheds, Protect and restore urban canyons, Provide grid resilience services through grid-integrated vehicle programs, Develop resilient design guidelines, Hold community trainings for emergency response and preparedness, Expand public outreach for wildfire response, Develop workforce preparedness training opportunities, Build redundancy and backup resources for critical operations, Implement a knowledge transfer program for natural hazard procedures, Create a web map for primary climate change hazard, Prepare a facility climate change action plan for Point Loma Wastewater Treatment Plant, Increase wastewater diversion, Conduct detailed site assessments for vulnerable waste and wastewater facilities, Integrate wildfire projections into watershed management, Promote water conservation through updates to irrigation systems.",N/A,"Utilize Climate Equity Fund, integrate climate resilience and equity considerations, collaborate with Office of Race and Equity, support active transportation network, increase access to healthy food networks, increase access to parks and open spaces, incentivize cool roofs and green roofs, utilize Urban Heat Vulnerability Index, develop an urban greening program, implement community garden program, provide grid resilience services, develop resilient design guidelines, hold community emergency response trainings, expand wayfinding for wildfire response, identify critical transportation network elements, develop flood assistance program, establish levees inspection and maintenance program."
O'ahu,HI,2020,Mitigation Only CAP,"sea level rise, high tide flooding, changing rainfall patterns, increasing temperatures, ocean warming and acidification",N/A,"Encourage Density and Mixed Land Use in Strategic Areas, Encourage Mode Shift through Parking Efficiency, Electrify the City Fleet and Support High Efficiency Vehicles, Reduce Energy Demand by Increasing Energy Efficiency, Enable and Provide Multiple Modes of Green Transportation, Maximize Energy Efficiency and Renewable Energy throughout City Operations and Assets, Expand Renewable Energy Planning and Expedite Permitting, Promote Waste Prevention, Maximize Waste Resource Efficiency.",N/A
Orlando,FL,2018,Mitigation Primary CAP,N/A,"Increase urban tree canopy and green space, Increase shade to reduce urban heat island impacts, Implement solar plus storage demonstration on critical infrastructure.","Reduce GHG 90%, Ensure 100% of new and existing buildings meet green building standards, Obtain 50% of electricity from renewables, Reduce the dependency of the local economy on energy, No waste to landfills or incinerators, Increase the use of electric vehicles/alternative fuel vehicles throughout the city, Increase to majority of trips by foot, bike, carpooling, transit, Establish a “feebate” or tax abatement policy for new construction to meet high-performance standards, Develop 100% Renewable Energy study with OUC and UCF, Devise a Clean Energy for Low-Income Communities Accelerator (CELCA) plan, Establish a carbon-offset for visitors to Orlando, Implement solar plus storage demonstration on critical infrastructure for grid resilience, Implement smart microgrid demonstration project with OUC.","Reduce dependency of the local economy on energy, implement solar plus storage demonstration on critical infrastructure for grid resilience, reduce urban heat island, use of smart tech to improve multi-modal options, expand bicycle connectivity and infrastructure, monitor citywide air quality using smart city technology, enhance tree canopy to mitigate urban heat island, enhance stormwater management, use smart poles for air quality monitoring, encourage low-impact design solutions for stormwater management, implement green affordable housing standards, develop a clean energy plan for low-income communities, increase urban tree canopy and green space, enhance public health and community resilience, develop Beyond 34 comprehensive waste management plan, obtain 100% of electricity from renewables by 2050, aim for 100% green building standards, ensure 95% of addresses are within 1/2 mile of a park or open space, promote sustainable transportation infrastructure."
Providence,RI,2019,Equal Adaptation-Mitigation CAP,"Gas leaks, Smog, Contaminated Air, Climate pollution, Transportation pollution","Develop a long-term climate resilience and adaptation plan, Measure and monitor the level of environmental burden in each neighborhood, Obtain community-level/spatially disaggregated GHG and co-pollutant emission source data via stationary air monitors in frontline communities, Maximize the health and climate benefits of green spaces, Expand community facilities for cooling, Evaluate and modify traffic patterns to reduce emissions in frontline communities, Invest in infrastructure to make walking and riding bicycles safer and more accessible, Create a citywide mobility plan that builds upon the City’s Great Streets Master Plan and RIPTA’s forthcoming Transit Master Plan, Expand energy efficiency, energy access, clean energy and electrification programs to better serve low-income communities, renters, and other underserved populations, Identify additional funding for energy efficiency investments in frontline communities.",N/A,"Develop a long-term climate resilience and adaptation plan, Create a network of Resilience Hubs, Establish Green Justice Zones, Implement microgrids in critical community spaces, Conduct a municipal building electrification study, Explore back-up battery storage and microgrids for critical facilities."
Houston,TX,2020,Mitigation Only CAP,"flooding, heat, poor air quality, fossil-fueled power plants, development sprawl",N/A,N/A,N/A
Boston,MA,2016,Resiliency Plan,"Extreme Heat, Stormwater Flooding, Coastal and Riverine Flooding, Sea Level Rise, Climate Change.","Maintain up-to-date projections, Expand education and engagement, Leverage climate adaptation for economic development, Develop local climate resilience plans, Create coastal protection systems, Coordinate infrastructure investments, Retrofit existing buildings, Insure buildings against flood damage, Develop district-level energy solutions, Expand green infrastructure.",N/A,"Elevated Mechanical Systems, Elevated First Floor, Resilient Building Design, Green Infrastructure, Bioswale, Expanded and Maintained Urban Tree Canopy, Small Business Preparedness Program, Solar Panels, District Microgrids, Temporary Flood Barrier, District Scale Flood Protection, Education/Engagement Initiative, Climate-ready Zoning, Adaption as a Tool for Economic Development, Potential Harbor Barrier, Protective & Floodable Waterfront Park"
